Row 1: ['№ Поставки', 'Дата размещения заказа', 'Наименование', 'Состав', 'Кол-во в заказе', 'Стоймость  1 ед $', 'Итоговая стоимость $', 'Курс списания', 'Себестоймость', 'Итоговая стоимость P', 'Карго', 'Себестоймость с учётом карго', 'Итоговая стоймость Р\n с учётом карго', 'Дата поступления продукции', 'Всего оплачено', '', '', '', '', '', '', '', '', '', '', '']
Row 2: ['2024.0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 3: ['1.0', '45523.0', 'Пальто из коричневой замши (5 one size)', '100% Натуральаня замша\nПодклад: %70 Acetate %30 Polyester', '5', '280.0', '1400', '94.17984548', '26370.35673', '131851.7837', '50050.0', '27413.06507', '137065.3253', '45567.0', '886837.9271', '', '', '', '', '', '', '', '', '', '', '']
Row 4: ['', '', 'Юбка из коричневой замши  (5xs, 7s , 5m) ', '100% Натуральаня замша\nПодклад: %70 Acetate %30 Polyester', '17', '165.0', '2805', '', '15539.6745', '264174.4666', '', '16582.38284', '281900.5082', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 5: ['', '', 'Жакет из коричневой замши в стиле 80-х (20 one size)', '100% Натуральаня замша\nПодклад: %70 Acetate %30 Polyester', '20', '180.0', '3600', '', '16952.37219', '339047.4437', '', '17995.08052', '359901.6104', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 6: ['', '', 'Жакет из кожи Ermes Brown в стиле 80-х  (6 one size)', '100% Натуральаня кожа\nПодклад: %70 Acetate %30 Polyester', '6', '180.0', '1080', '', '16952.37219', '101714.2331', '', '17995.08052', '107970.4831', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 7: ['2.0', '45523.0', 'Длинная дублёнка из коричневой тасканы (образец)', '100% Натуральаня овчина\nПодклад: %70 Acetate %30 Polyester', '1', '400.0', '400', '95.91404023', '38365.61609', '38365.61609', '10900.0', '41998.94943', '41998.94943', '45575.0', '101059.1978', '', '', '', '', '', '', '', '', '', '', '']
Row 8: ['', '', 'Короткая дублёнка из серой кёрли (образец)', '100% Натуральаня овчина\nПодклад: %70 Acetate %30 Polyester', '1', '280.0', '280', '', '26855.93126', '26855.93126', '', '30489.2646', '30489.2646', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 9: ['', '', 'Плащ из коричневой замши (образец)', '100% Натуральаня замша\nПодклад: %70 Acetate %30 Polyester', '1', '260.0', '260', '', '24937.65046', '24937.65046', '', '28570.98379', '28570.98379', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 10: ['3.0', '45559.0', 'Жакет из кожи Hemes Brown в стиле 80-х (10 one size)', '100% Натуральаня кожа\nПодклад: %70 Acetate %30 Polyester', '10', '180.0', '1800', '95.91404023', '17264.52724', '172645.2724', '39250.0', '18899.94391', '188999.4391', '45586.0', '453598.6538', '', '', '', '', '', '', '', '', '', '', '']
Row 11: ['', '', 'Жакет из кожи Hemes  Toupe в стиле 80-х (14 one size)', '100% Натуральаня кожа\nПодклад: %70 Acetate %30 Polyester', '14', '180.0', '2520', '', '17264.52724', '241703.3814', '', '18899.94391', '264599.2147', '', '', '', '', '', '', '', '', '', '', '', '', '']
Row 12: ['4.0', '45580.0', 'Жакет из кожи Hemes Mouse в стиле 80-х(образец)', ' ', '1', '180.0', '180', '98.45978015', '17722.76043', '17722.76043', '3000.0', '20029.28217', '20029.28217', '45593.0', '639377.9908', '', '', '', '', '', '', '', '', '', '', '']
Row 13: ['', '', 'Короткая дублёнка из серой кёрли (образец)', '100% Натуральаня овчина\nПодклад: %70 Acetate %30 Polyester', '1', '260.0', '260', '', '25599.54284', '25599.54284', '3500.0', '27906.06458', '27906.06458', '45608.0', '', '', '', '', '', '', '', '', '', '', '', '']
Row 14: ['', '45609.0', 'Короткая дублёнка из серой кёрли (20 one size)', '100% Натуральаня овчина\nПодклад: %70 Acetate %30 Polyester', '20', '260.0', '5200', '', '25599.54284', '511990.8568', '46550.0', '27906.06458', '558121.2915', '45622.0', '', '', '', '', '', '', '', '', '', '', '', '']
Row 15: ['', '', 'Длинная дублёнка из серой кёрли(образец)', '100% Натуральаня овчина\nПодклад: %70 Acetate %30 Polyester', '1', '315.0', '315', '', '31014.83075', '31014.83075', '', '33321.35248', '33321.35248', '', '', '', '', '', '', '', '', '', '', '', '', '']
